Domain Code,Domain,Area Code (M49),Area,Year Code,Year,Item Code,Item,Months Code,Months,Element Code,Element,Unit,Value,Flag,Flag Description,Note
"CP","Consumer Price Indices","360","Indonesia","2000","2000","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","6125","Value","","28.333531","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2000","2000","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","6125","Value","","28.239171","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2000","2000","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","6125","Value","","27.593531","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2000","2000","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","6125","Value","","27.151517","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2000","2000","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","6125","Value","","27.146556","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2000","2000","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","6125","Value","","27.186286","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2000","2000","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","6125","Value","","27.732589","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2000","2000","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","6125","Value","","27.211116","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2000","2000","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","6125","Value","","26.560514","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2000","2000","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","6125","Value","","26.625074","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2000","2000","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","6125","Value","","27.240915","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2000","2000","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","6125","Value","","28.626548","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2001","2001","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","6125","Value","","28.571918","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2001","2001","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","6125","Value","","29.013932","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2001","2001","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","6125","Value","","29.287088","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2001","2001","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","6125","Value","","28.999032","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2001","2001","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","6125","Value","","29.436077","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2001","2001","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","6125","Value","","29.833392","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2001","2001","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","6125","Value","","30.320105","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2001","2001","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","6125","Value","","29.609904","X","Figure from external organization","base year is 2015"
